"...1","Site","Clinic","Participation"
2019-01-01,"1","MLK Center",1598
2019-01-01,"3","Westmoreland",3580
2019-01-01,"5","Lake June",6419
2019-01-01,"7","Carrollton",2367
2019-01-01,"8","Grand Prairie",3875
2019-01-01,"9","Irving",5995
2019-01-01,"10","Highland Hills",2621
2019-01-01,"11","East Garland",3920
2019-01-01,"17","Northwest Highway",2907
2019-01-01,"24","North Dallas",4753
2019-01-01,"25","Ledbetter",7029
2019-01-01,"26","John West/Buckner",4889
2019-01-01,"30","Duncanville",2750
2019-01-01,"32","West Garland",4157
2019-01-01,"34","Stemmons Clinic",0
2019-01-01,"37","Abrams Road",3594
2019-01-01,"39","Mesquite",3454
2019-02-01,"1","MLK Center",1572
2019-02-01,"3","Westmoreland",3507
2019-02-01,"5","Lake June",6249
2019-02-01,"7","Carrollton",2356
2019-02-01,"8","Grand Prairie",3857
2019-02-01,"9","Irving",6001
2019-02-01,"10","Highland Hills",2436
2019-02-01,"11","East Garland",3836
2019-02-01,"17","Northwest Highway",2860
2019-02-01,"24","North Dallas",4768
2019-02-01,"25","Ledbetter",6876
2019-02-01,"26","John West/Buckner",4741
2019-02-01,"30","Duncanville",2607
2019-02-01,"32","West Garland",4064
2019-02-01,"34","Stemmons Clinic",1
2019-02-01,"37","Abrams Road",3474
2019-02-01,"39","Mesquite",3400
2019-03-01,"1","MLK Center",1549
2019-03-01,"3","Westmoreland",3489
2019-03-01,"5","Lake June",6321
2019-03-01,"7","Carrollton",2400
2019-03-01,"8","Grand Prairie",3942
2019-03-01,"9","Irving",6098
2019-03-01,"10","Highland Hills",2309
2019-03-01,"11","East Garland",3910
2019-03-01,"17","Northwest Highway",2919
2019-03-01,"24","North Dallas",4935
2019-03-01,"25","Ledbetter",6926
2019-03-01,"26","John West/Buckner",4699
2019-03-01,"30","Duncanville",2650
2019-03-01,"32","West Garland",4124
2019-03-01,"34","Stemmons Clinic",2
2019-03-01,"37","Abrams Road",3562
2019-03-01,"39","Mesquite",3453
2019-04-01,"1","MLK Center",1568
2019-04-01,"3","Westmoreland",3507
2019-04-01,"5","Lake June",6281
2019-04-01,"7","Carrollton",2410
2019-04-01,"8","Grand Prairie",3887
2019-04-01,"9","Irving",6099
2019-04-01,"10","Highland Hills",2188
2019-04-01,"11","East Garland",3982
2019-04-01,"17","Northwest Highway",2938
2019-04-01,"24","North Dallas",4930
2019-04-01,"25","Ledbetter",6959
2019-04-01,"26","John West/Buckner",4685
2019-04-01,"30","Duncanville",2667
2019-04-01,"32","West Garland",4143
2019-04-01,"34","Stemmons Clinic",1
2019-04-01,"37","Abrams Road",3636
2019-04-01,"39","Mesquite",3459
2019-05-01,"1","MLK Center",1586
2019-05-01,"3","Westmoreland",3588
2019-05-01,"5","Lake June",6293
2019-05-01,"7","Carrollton",2361
2019-05-01,"8","Grand Prairie",3939
2019-05-01,"9","Irving",6191
2019-05-01,"10","Highland Hills",2140
2019-05-01,"11","East Garland",4025
2019-05-01,"17","Northwest Highway",2949
2019-05-01,"24","North Dallas",4936
2019-05-01,"25","Ledbetter",6937
2019-05-01,"26","John West/Buckner",4701
2019-05-01,"30","Duncanville",2659
2019-05-01,"32","West Garland",4097
2019-05-01,"34","Stemmons Clinic",0
2019-05-01,"37","Abrams Road",3594
2019-05-01,"39","Mesquite",3434
2019-06-01,"1","MLK Center",1586
2019-06-01,"3","Westmoreland",3573
2019-06-01,"5","Lake June",6386
2019-06-01,"7","Carrollton",2360
2019-06-01,"8","Grand Prairie",3887
2019-06-01,"9","Irving",6234
2019-06-01,"10","Highland Hills",2097
2019-06-01,"11","East Garland",4039
2019-06-01,"17","Northwest Highway",2941
2019-06-01,"24","North Dallas",4957
2019-06-01,"25","Ledbetter",7045
2019-06-01,"26","John West/Buckner",4698
2019-06-01,"30","Duncanville",2725
2019-06-01,"32","West Garland",4058
2019-06-01,"34","Stemmons Clinic",0
2019-06-01,"37","Abrams Road",3543
2019-06-01,"39","Mesquite",3475
2019-07-01,"1","MLK Center",1616
2019-07-01,"3","Westmoreland",3590
2019-07-01,"5","Lake June",6581
2019-07-01,"7","Carrollton",2361
2019-07-01,"8","Grand Prairie",3928
2019-07-01,"9","Irving",6277
2019-07-01,"10","Highland Hills",2100
2019-07-01,"11","East Garland",4121
2019-07-01,"17","Northwest Highway",2945
2019-07-01,"24","North Dallas",5028
2019-07-01,"25","Ledbetter",7188
2019-07-01,"26","John West/Buckner",4733
2019-07-01,"30","Duncanville",2814
2019-07-01,"32","West Garland",4087
2019-07-01,"34","Stemmons Clinic",0
2019-07-01,"37","Abrams Road",3574
2019-07-01,"39","Mesquite",3515
