"Date","Site","Clinic","Manager","Is the current WIC logo on or above entrance?","Are accurate hours of operation displayed on door in a permanent format?","Is staff properly welcoming, Hi, Welcome to WIC?","Is staff at entrance to greet and provide information promptly?","Is staff communicating options to walk-ins?","Is water visible and available to clients?","Is the WIC material QR code visible, colorful & intentional?","Is the WIC material QR code linked to the WIC shopping guide?","Is the WIC material QR code linked to social media?","Is the WIC material QR code linked to the WIC cookbook?","Is the WIC material QR code linked to state website?","Does the entire scope of practice take place in a private room?","Do all rooms display the Jordan Michael Design?","Do all private rooms display room status indicators?","Is there a television present?","Is the television utilized appropriately?","Is the environment peaceful and neutral? (smells, sounds, etc.)","Is there developmentally appropriate entertainment for children in every room?","Is a clinic manager or supervisor present?","Padded or gel chairs available","Rolling cart per room","Client does not move","Room per Certifier","# of Families Waiting","Minimum of 2 client padded chairs","Maximum of 8 sq ft desk","Maximum of 12 sq ft lab equipment","Small filing cabinet","3 or more wall hangings","Sharp corners covered","Electrical outlets covered","Hazard box up and out of the way","No flammable clutter","No confidential convo with door open","Alternative lighting","Interactive rugs","Kitchen sets","1 or more child chairs","Child books visible","Standard filing system for forms","Gloves mounted to wall"
2023-06-05,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.164835164835165,0,0.835164835164835,0.835164835164835,1,2.83516483516484,0.8,0.6,0.4,0.550819672131148,0.950819672131147,0,0.4,0.150819672131148,1,1,0,0,0.2,0,0,0,0
2023-07-01,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.766362138685038,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.930659025787966,0.934065934065934,0.8647249598539,0.908277968449888,0.974212034383954,0.595383985641865,0.8647249598539,0.638936994237854,1,1,0,0,0.032967032967033,0,0,0.595383985641865,0.595383985641865
2023-07-03,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.766362138685038,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.930659025787966,0.934065934065934,0.8647249598539,0.908277968449888,0.974212034383954,0.595383985641865,0.8647249598539,0.638936994237854,1,1,0,0,0.032967032967033,0,0,0.595383985641865,0.595383985641865
2023-08-16,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.307125654728549,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.930659025787966,0.934065934065934,0.8647249598539,0.908277968449888,0.974212034383954,0.595383985641865,0.8647249598539,0.638936994237854,1,1,0,0,0.032967032967033,0,0,0.595383985641865,0.595383985641865
2023-08-16,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.766362138685038,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.930659025787966,0.934065934065934,0.8647249598539,0.908277968449888,0.974212034383954,0.595383985641865,0.8647249598539,0.638936994237854,1,1,0,0,0.032967032967033,0,0,0.595383985641865,0.595383985641865
2023-08-16,"3","Westmoreland","Ana",0.623121894405197,1,0.954182213646677,0.954182213646677,1,0.376878105594803,1,0.903106648531497,1,0.903106648531497,1,1,1,0.750570816975636,1,0.954182213646677,1,0.903100051873175,0.766362138685038,0.66976186910289,0.903399730417852,0.903399730417852,1,4.91268533772652,0.930659025787966,0.934065934065934,0.8647249598539,0.908277968449888,0.974212034383954,0.595383985641865,0.8647249598539,0.638936994237854,1,1,0,0,0.032967032967033,0,0,0.595383985641865,0.595383985641865
2022-11-28,"5","Lake June","Heather",1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-06,"5","Lake June","Heather",1,0.605263157894737,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,"5","Lake June","Heather",1,0.786585365853658,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,"5","Lake June","Heather",1,0.86275135652729,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
