Date,Site,Clinic,Manager,Is the current WIC logo on or above entrance?,Are accurate hours of operation displayed on door in a permanent format?,"Is staff properly welcoming, Hi, Welcome to WIC?",Is staff at entrance to greet and provide information promptly?,Is staff communicating options to walk-ins?,Is water visible and available to clients?,"Is the WIC material QR code visible, colorful & intentional?",Is the WIC material QR code linked to the WIC shopping guide?,Is the WIC material QR code linked to social media?,Is the WIC material QR code linked to the WIC cookbook?,Is the WIC material QR code linked to state website?,Does the entire scope of practice take place in a private room?,Do all rooms display the Jordan Michael Design?,Do all private rooms display room status indicators?,Is there a television present?,Is the television utilized appropriately?,"Is the environment peaceful and neutral? (smells, sounds, etc.)",Is there developmentally appropriate entertainment for children in every room?,Is a clinic manager or supervisor present?,Padded or gel chairs available,Rolling cart per room,Client does not move,Room per Certifier,# of Families Waiting,Minimum of 2 client padded chairs,Maximum of 8 sq ft desk,Maximum of 12 sq ft lab equipment,Small filing cabinet,3 or more wall hangings,Sharp corners covered,Electrical outlets covered,Hazard box up and out of the way,No flammable clutter,No confidential convo with door open,Alternative lighting,Interactive rugs,Kitchen sets,1 or more child chairs,Child books visible,Standard filing system for forms,Gloves mounted to wall
2023-08-01,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9594197216232111,0.9617569627268949,0.921176684350106,0.944903950941999,0.983146988215104,0.6805964059733172,0.921176684350106,0.70432367256521,1,1,0.5132366340126653,0,0.5323581526492179,0,0.5132366340126653,0.6805964059733172,0.6805964059733172
2023-08-14,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.8855846566302331,0.8189729841204372,0.9333883274902042,0.9333883274902042,1,3.4452464425654776,0.9594197216232111,0.9617569627268949,0.921176684350106,0.944903950941999,0.983146988215104,0.6805964059733172,0.921176684350106,0.70432367256521,1,1,0.5132366340126653,0,0.5323581526492179,0,0.5132366340126653,0.6805964059733172,0.6805964059733172
2023-09-01,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9718740961394532,0.9733194733194732,0.9451935694589265,0.961035915306908,0.9877164419874347,0.7170676655983798,0.9451935694589265,0.7329100114463611,1,1,0.6252212410090199,0,0.6385615043492832,0,0.6252212410090199,0.7170676655983798,0.7170676655983798
2023-09-11,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9718740961394532,0.9733194733194732,0.9451935694589265,0.961035915306908,0.9877164419874347,0.7170676655983798,0.9451935694589265,0.7329100114463611,1,1,0.6252212410090199,0,0.6385615043492832,0,0.6252212410090199,0.7170676655983798,0.7170676655983798
2023-10-05,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.30712565472854936,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9718740961394532,0.9733194733194732,0.9451935694589265,0.961035915306908,0.9877164419874347,0.7170676655983798,0.9451935694589265,0.7329100114463611,1,1,0.6252212410090199,0,0.6385615043492832,0,0.6252212410090199,0.7170676655983798,0.7170676655983798
2023-10-05,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9718740961394532,0.9733194733194732,0.9451935694589265,0.961035915306908,0.9877164419874347,0.7170676655983798,0.9451935694589265,0.7329100114463611,1,1,0.6252212410090199,0,0.6385615043492832,0,0.6252212410090199,0.7170676655983798,0.7170676655983798
2023-10-05,3,Westmoreland,Arria,0.6231218944051974,1,0.9541822136466767,0.9541822136466767,1,0.3768781055948028,1,0.9031066485314967,1,0.9031066485314967,1,1,1,0.7505708169756358,1,0.9541822136466767,1,0.9031000518731747,0.9238969472979449,0.8744737004282195,0.9505767531302746,0.9505767531302746,1,1.5341646428402615,0.9718740961394532,0.9733194733194732,0.9451935694589265,0.961035915306908,0.9877164419874347,0.7170676655983798,0.9451935694589265,0.7329100114463611,1,1,0.6252212410090199,0,0.6385615043492832,0,0.6252212410090199,0.7170676655983798,0.7170676655983798
2022-11-28,5,Lake June,Heather,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-06,5,Lake June,Heather,1,0.6052631578947368,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-19,5,Lake June,Heather,1,0.7865853658536585,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
